ID,Topic,Sentiment
567,kiểu cá tính nét đẹp mang nàn gió mới . chứ không phải nét đẹp công nghiệp đại trà .!,Neutral
568,khi bạn đặt quá nhiều niềm tin vào người khác,Neutral
569,ngày trước nấu cơm . đun rơm . đốt được hơn 10p mới nhớ ra chưa cho nước . hỏng cả nổi cơm huhu,Negative
570,tạm biệt ông cám ơn tất cả những gì ông đã làm cho vn,Positive
571,và chúng nó cũng ngáo hơn lũ con trai :),Negative
572,em cũng thắc mắc tại răng khúc xương tư tao nhỉ ? xong nó lại tự to lên được nó nhờ lực gì rứa,Neutral
573,"ngu bỏ mẹ ... làm giàu cho bọn bán vàng thì có , trước mắt thần tài đến các tiệm vàng , còn mấy thằng mua , thần tài chưa thấy đâu vì vài ngày sau vàng sẽ tụt giá chắc chắn sẽ lỗ mẹ nó rồi ..( lỗ 3 cái : giá tụt , giá mua vào và tiền công nếu là vàng thời trang ) - còn cái kiểu chơi bời không lo làm ăn , chỉ có làm biếng mà hàng tháng cứ cầm 3 cây nhang khấn vái thần tài mong tài lộc tới thì có cái lol ý ..",Negative
574,per bố mày nhắn tin rồi cái con cặc gì mày cũng cho thằng em mày xem,Negative
575,"có vẻ coi lòng tự trọng , nhân cách , và tinh thần của người ta rẻ mạt ... ngồi tù 7 năm đáp lại 1 lời xin lỗi và 200tr ...😩😩😩",Negative
576,dễ thương mà,Positive
577,"nhổ tóc sâu cho bố , hình như được 500đ để mua kẹo dồi 😂",Positive
578,mấy đứa con gái chơi với nhiều đứa con trai nghĩ là bình thường nhưng mấy đứa con trai lại nghĩ con đó lẳng lơ,Negative
579,"ng nhật giỏi ở chỗ đó ., đây không phải là sự phiền hà mà là một cơ hội .",Positive
580,"ngu thế chờ cho mật ong ngấm xuống đất , rồi đào đất đấy lên chắt kiểu gì cũng được gần đầy :))",Neutral
581,bớt ngu để sống tốt hơn,Negative
582,đang tập hát 😶😶 hay thật 😔😔,Positive
583,dù cậu làm tôi tổn thương mỗi ngày nhưng chả hiểu sao vẫn thương cậu,Negative
584,rồi có đi họp lớp không ?,Neutral
585,vì yêu người khác nên biết là ngu nhưng vẫn làm :(,Negative
586,"bị đánh 1 lần thì hơi sốc , nhưng nhiều lần thì tâm hồn sẽ trở nên mạnh mẽ , cảm xúc nó mới đàn hồi",Neutral
587,per tiếc cái gì đấy bố nó,Negative
588,sao bao nhiêu năm kể từ ngày đó em đã không còn nghe lại nữa :((,Negative
589,"nhà em trong ngõ bác ơi , bác cho ô tô vào vừa thì em cho bác đỗ luôn",Neutral
590,thả chó rông không rọ mõm cắn người là tội ác,Negative
591,con bé xinh thế ??,Positive
592,trước khi lấy vợ boss có một thân hình hoàn mĩ thế này đây,Negative
593,đọc cái mà cười rớt cả hàm .... cuộc đọ sức giữa xe lửa và ô tô,Positive
594,cần tìm gấp bạn trai đáng yêuc như anh này trời đất ơi =)),Positive
595,khi nào tao thấy thích . mà thích rồi chưa có người thích cùng .,Negative
596,thề dume c còn hết hồn nói chi đến khách =)))) sáng sớm ra mở cửa với tối đóng cửa thôi độ gan dạ cũng phải tăng lên mấy chân kính =)))),Negative
597,địt mẹ xấu mặt đàn ông quá . đéo hiểu mấy thằng lol này nghĩ nó ngầu chỗ đéo nào nhỉ . bệnh hoạn vãi,Negative
598,"chán thật , dạo này hồi xuân hay sao đọc mấy cái kiểu này ấm lòng vãi :(",Negative
599,thế là hết những gì đẹp nhất của nước pháp sao không phun nước cứ để cháy rần rật nhỉ,Negative
600,chủ thớt sao xinh gái thế =)),Neutral
601,loạn hết rồi,Negative
602,"may công an đến bắt chứ không thì dân chỗ đó cho vào nồi cả rồi , đã có người cắt cử nhau đi mua giềng mẻ rồi đó chứ 😆",Positive
603,chết rồi thì chôn . xử lý cái quái gì nữa ...,Negative
604,thế là đúng quy trình rồi,Neutral
605,rảnh rỗi không có việc gì làm sinh ra mất tiền,Negative
606,nếu đồng nghiệp của bạn hãm vãi thì cũng nên đăng xuất đi,Negative
607,ốm mà xinh thế :3,Positive
608,đợi chờ là hạnh phúc mong rằng hai nhà lãnh đạo trong lần gặp nhau sau sẽ tiến triển hơn nữa,Neutral
609,"thứ con gái hư đốn , mày không sợ xã hội dị nghị à",Negative
610,ăn vải nóng lở hết miệng ra đây này,Negative
611,trồi ôi mới đọc tưởng đâu người yêu,Positive
612,per bị chì chiết từ 6h sang đến 23h phia . vẫn sống vui 😊😉,Positive
613,ai đó chọc mù mắt tao đi ... mất mẹ tuổi thơ,Negative
614,khổ nhất người có bầu,Negative
615,trai tài gái sắc .. danh ngôn rồi tài sản chứ tài gì !! 🤣🤣,Positive
616,per nhớ bột mì chiên huhuhu,Negative
617,cho bạn trai uống nước này nhé 😌,Neutral
618,"cô giáo như cái lìn , mà dume đánh con cháu tao ntnay thù từ thằng đánh lẫn đẻ ra đứa đánh bố cũng đập cmm chúng mày hết",Negative
619,per 🤣🤣🤣 để anh vẽ mình xem thế nào nhé,Neutral
620,per học hành cho cố vào rồi mần sao như này đi,Neutral
621,bộ phim hay nhất từng xem,Positive
622,rút kinh nghiệm lần sau cứ khách nào kêu tính tiền thì mình checkin phòng liền nếu tình trạng như vậy thì cho nó dọn phòng khi nào sạch thì cho nó về 😀,Negative
623,bất kì hoa gì có mùi đều không thích,Negative
624,nhìn một cái rồi quay đi là thấy mãn nguyện rồi .,Positive
625,tuổi thơ của tôi cũng từng có 1 người c . trai bỏ mặc tất cả để bảo vệ tôi 😘😘😘😘,Positive
626,"năm nào cũng đi cho có không khí xuân vậy , không đi thì thấy thiếu thiếu . nhà tao cách chợ 10km",Positive
627,"mặc kệ người ta bạn ơi , có tiền mua xe đi thì kệ mẹ thiên hạ",Neutral
628,bé gái đáng yêu quá ??,Positive
629,"nhìn là biết sapa rồi , thế cũng đố",Negative
630,ước là 1 ngày mai thức dậy dụi mắt mãi chưa hết tuổi thanh xuân =)))),Positive
631,nhằm ngày sinh nhật luôn trời ..😂,Neutral
632,"làm pv quán karaoke đi rồi khổ hơn nữa , toilet danh cho nam chỉ đứng tè , vậy mà nỡ lòng nào mấy anh ngồi ỉa 😢 thiệt chứ gặp cái mún khóc lun …",Negative
633,tao đang chờ xem bà ấy được nghe nhạc ý mà hết video 🤣,Positive
634,xem video nay sao mà sướng hết thằng người,Positive
635,bọn bây giống tao không ? chứ ghét mấy đứa troll rớt điện thoại vãi,Negative
636,"khoảnh khắc anh quay mặt đi , con tim em tan nát vãi ra",Negative
637,nó lại làm tao nhớ tới cái mấy con chó ăn hạt dưa ở quán cf đụ đỉ mẹ ăn thì có cái bịch bên cạnh đó cắn bỏ vào bịch thì chết à d . mày cắn xong cứ phun phun xuống đất đã vậy mỗi lần phun là mỗi chỗ khác nhau làm dọn bắt lòi dái nhìn nó phun chỉ muốn đấm cho nó một cái,Negative
638,tất cả đã đều quá hoàn hảo rồi . trừ pha nhảy cuối thôiiii :v,Positive
639,per con nghĩ cậu nên thử,Neutral
640,"ai bảo mèo đực hay đi khỏi nhà chứ quàng thượng nhà tao toàn ngủ , ngủ cả ngày cả đêm , đang ngủ mắc tè xong dậy đi tè rồi vào ngủ tiếp , ngủ hơn heo :vậy",Negative
641,buồn cô lắm,Negative
642,nó ốm nhom thương ghê :(,Negative
643,"làm bác sĩ sướng thật , bảo cở là cởi , bảo cưới là cưới . lắc đầu cái là cả nhà khóc .",Positive
644,như kiểu sắp bị hiếp dâm đến nơi vậy . tế sống luôn mấy thg lol 🙂 dcm,Negative
645,giọng chú hơi bị dễ thương nhá :)),Positive
646,ngửa thấy mùi là đã thấy kinh rồi,Negative
647,ngu cho chết chứ nói con cặc gì,Negative
648,vâng chú ah haha,Positive
649,cặp nay dth ghê luôn 😍,Positive
650,cảm động quá hjxhjx,Negative
651,mày làm anh tao hơi lâu rồi đấy,Negative
652,tao không phân biệt được bà nội bà ngoại ??,Neutral
653,ích kỉ quá đấy . vỉa vẻ thế kia ra vào vẫn bình thường nhé,Negative
654,suy thoái gớm nhỉ :)),Negative
655,cuộc sống mà mấy ai được trọn vẹn 😢😢,Negative
656,"ngta tạo nên video để giáo dục mấy ba ơi , mấy ba mấy má làm quá",Negative
657,biết ngay sẽ chơi cái trò mất dạy này nhưng vẫn kiên trì xem tới cùng để thách thức bản thân có sợ hay không :)),Negative
658,cha con y chang nhau 😂 1 khuôn đúc ra,Neutral
659,giết nó ! làm ám ảnh cả cuộc đời học sinh .,Negative
660,"tụi mày có hiểu được cảm giác , muốn bắt chuyện mà không dám bắt không ?? tụi mày có hiểu được cảm giác vờ ngủ gục để nhìn nó không ?? tụi mày đã từng nhìn nó thật kỉ , thật tỉ mỉ chưa ?",Negative
661,chưa đâu ... nó mang bánh gato vào xong bôi đầy tường mới là cả một rổ của sự hloz,Negative
662,ngưỡng mộ quá đi ạ . chúc 2 ac mãi mãi hạnh phúc như này nha :))),Positive
663,ăn 1 đống tiền phạt có 5tr . tội lợi dụng tín ngưỡng để lừa đảo xem chừng nhẹ tội nhỉ .,Negative
664,per đúng chất em lun hâha,Positive
665,năm nào chả vậy :))),Positive
666,thua sự mặt dày của khách nên cho một xíu . :v,Neutral
667,chuẩn đét . t nghỉ công ty cũ cũng vì đồng nghiệp 😭😭😭,Negative
668,"là thằng đàn ông phải có bản lĩnh từ khi còn bé , thay vì hay bắt nạt , quát tháo đàn bà thì hãy là người che chở , yêu thương !!!! mong con zai của mẹ sau này cũng như mấy anh này .!!!",Positive
669,cho ngay cốc bia vào mặt . nhố nhăng,Negative
670,sau quả sấm sáng cả trời thì gần như toàn khu phố mất điện,Neutral
671,bà này bị âm đồ từ đêm qua đây mà ...,Neutral
672,chỉ đi đường quen thôi ! đường nào lạ chỉ ngồi sau thôi =)),Neutral
673,"tát cho phát , đêm hôm mất con mẹ nó ngủ . ??",Negative
674,xem xong tôi cảm thấy còn u ám hơn :)),Negative
675,đó là khi bạn làm cho hãng hoặc công tình yêu lớn tầm cở .... chứ quảng lý mấy shop quần áo có cái lol mà được 30tr :)),Negative
676,gớm vãi :))),Negative
677,đi bao xa mới thoát đựoc kiếp không có người yêu ? :<,Negative
678,con lai xinh phết ??????,Positive
679,đây đây thiệt là hãm,Negative
680,đm lừa đảo hằng năm cả trăm tỉ . giờ phạt có 5 triệu :))) chán vãi,Negative
681,ở đâu cho tao làm vớiiiiii,Positive
682,"biết chỉ là phim thôi , xem con bé hôn bố lần cuối nước mắt tự rơi , híc híc",Negative
683,chưa bao giờ b đến đích là gì cả,Negative
684,lũ này cho nghỉ việc thay người khác còn bao nhiêu người đi xin việc kìa xử phạt rhì trẻ cũng đã ăn rồi lũ mất nhân tính,Negative
685,hmmmmmmm não tao xoắn mẹ rồi,Neutral
686,"chẳng bao giờ nhà bếp nó nấu đồ ngon cả , toàn thiu thối hoặc kém chất lượng nó mua về làm mới có lãi . trước làm với nhật nó còn bắt làm cho nó như cho công nhân ăn thì thời gian đầu được , đến khi đổi giám đốc là đéo nuốt nổi nữa",Negative
687,khuôn mặt đậm chất giải trí 🙂,Positive
688,moá nhìn rùng hết cả mình,Negative
689,em tìm link phim mà sao nó ra phim khác chứ không phải phim này zay mọi người 😞,Negative
690,5tr phạt làm cái lồng gì . phạt 500tr tội sỉ nhục lăng mạ người khác,Negative
691,bà ta đâu cư xử như 1 người vợ đâu !,Neutral
692,per =))))) hahaaaa,Positive
693,má ơi đây chính là thứ ám ảnh nhất cuộc đời con . kẻ thù 😢😢😢,Negative
694,"đúng rồi , ngưng ảo tưởng",Negative
695,"chời , dễ thương quá",Positive
696,tuổi thơ tôi bị ám ảnh mấy con ngỗng này . mấy con màu xám cứ mỗi lần đi học ngang qua ngõ nhà hàng xóm là nó đuổi . tao lại chạy thục mạng . cứ phải đắn đo mỗi lần qua đó xem có chúng nó không rồi ù chạy như ma đuổi . haizz tuổi thơ tôi ....,Negative
697,anh em để tao hưởng trước nào,Positive
698,bán hàng online hồi năm cấp 3 :))) tháng hè ấy đi quanh hạnh phúc để giao hàng với bố . được lãi 4 tr :)))),Positive
699,ý thức kém quá ☹☹,Negative
700,"bọn phục vụ nhà bếp toàn là chó , chó mới ăn thịt thúi bẩn như vậy .",Negative
701,đấy . người ta làm những video ý nghĩa . chứ không phải ba cái video xàm nhảm như cái đéo gì cũng cái kết . xàm .,Negative
702,thần tài cho chủ cửa hàng bán vàng chứ thần tài gì mình đâu,Neutral
703,"hiện tại mình cần tìm người yêu , bạn nữ nào chưa có chồng hay chưa người yêu thì bình luận bên dưới để mình lựa một bạn may mắn nhất nhé :)))",Positive
704,lỡ bị tào tháo rượt mà cái wc bên kia thì nhảy thế nào nhỉ,Neutral
705,"ra chỗ sóng không táp vào mà ghi , xem mà ức chế vãi :))",Negative
706,chòi má nói chuyện tình vãi =)))),Positive
707,con gái hay ảo tưởng như vậy lắm 😌,Negative
708,nó cười mắc ỉa môi thì zoe lại lùn xấu vãi lại còn gầy nữa chứ haizz,Negative
709,không phải không thích mà bản thân chưa đủ tốt để sánh vai . phải chi anh có thể đợi em khôn lớn !,Negative
710,ông tóc ngắn ngắn cam cam tên gì vậy ạ ?,Neutral
711,tiên sư bố nhà mày . tao chịu hết nổi rồi nhé 🤤,Negative
712,đm ngu . cái nồi cơm điện chứ gì .,Negative
713,sai rồi nhá . có những thứ cha mẹ không có nhưng vì con họ vẫn cố gắng để có được nó,Neutral
714,hú hồn con chồn chạy ngang 😑,Negative
715,khi bạn bỗng nhiên nhận ra rằng có những bài hát phù hợp với từng khoảnh khắc riêng bên người đó :),Neutral
716,mỗi lần về quê mà sắp sửa đi qua chuồng ngỗng tao phải cầm cây chổi lông gà mới đi được đấy dume . quơ quơ vòng vòng cho mấy đĩ ngỗng né xa ra rồi chạy thụt lol luôn :=]]]],Negative
717,tao ghét và tao sợ nó,Negative
718,bán thì bán đi còn bảo bố mày bất hạnh . đéo thèm mua nữa 😑,Negative
719,lâu lắm rồi mới nge lại bài này ... vẫn thấy hay như ngày nào ...,Positive
720,chị ấy được đào tạo qua lớp người nhện bắn tơ nên không biết sợ 😂😂😂,Positive
721,1 từ ( nhạt )🙂,Negative
722,"có mồm để làm gì ? hay chỉ để cãi nhau , la hét ?",Negative
723,hồi đó khoái cái này lắm,Positive
724,giọng anh khi mặc bộ záy màu hường thật kinh dị,Negative
725,mày tin tao nhai đầu mày không,Negative
726,"yeahh , được mở lại fan cứng rồi =)))",Positive
727,"per mất mặt thật sự , quán bún đậu đó không biết có dán mặt mày lên không",Negative
728,có đứa nào xem mà thèm đi biển như tao không ?,Positive
729,tài năng cho làng đua xe đạp tương lai là đây chứ đâu ✌✌,Positive
730,"các bạn xem phim cậu bé đặc biệt , luôn nhé . phim có diển viên này tham gia nói về cách giáo dục con cái cực hay . chúc các bạn xem phim vui vẻ",Positive
731,"per đọc vài dòng là lướt xuống cuối để xem có phải "" hi vọng câu chuyện mình vừa bịa ra ...."" nhưng không phải . kkk",Positive
732,đây là câu khuyến mại điểm :),Positive
733,nghe lại bài này thấy chột dạ vãi,Negative
734,"nói chung thánh này không ai ghét được , trừ hlv kkk , dễ thương gắp trăm thằng pogba ,,, mong cho thằng đó nhanh biến khỏi mu",Positive
735,đi chơi xong về cũng buồn như chó cắn tiếp thôi,Negative
736,haha mắc cười quá ... nhưng thật chúng mày là tao rất sợ rắn ...,Negative
737,dễ thương kinh khủng . bởi vậy mới nói mấy đứa yêu nhau là lầy nhất,Positive
738,tây cũng lầy phết,Neutral
739,thanh niên leo lên cao để theo dõi thời tiết để thông báo cho người dân đi cấy thật cảm động,Positive
740,bao năm giải phóng như thế này phải không anh,Neutral
741,vẫn nhớ ngày đầu . lần đầu em có cảm giác được che chở như vậy :))),Positive
742,"cưỡng hôn thì phạt 200 . lừa đảo , chiếm đoạt phạt nhằng 5 cu ( củ ).",Negative
743,bà mẹ nó @@ xem rùng con mẹ nó mình hơn cả phim ma .,Negative
744,"mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",Negative
745,coi ảnh này nổi cả gai ốc,Negative
746,tao cười ỉa cho cái bọn ấy :))),Positive
747,"đúng rồi đấy , như thế là đang mắc chứng ảo tưởng sức mạnh",Negative
748,sừng mọc hồi nào không hay,Neutral
749,câu này thấy sai sai,Neutral
750,não bằng đá . không cần phải đội nón,Neutral
751,các bạn đéo biết được đâu vì các bạn đbh gặp thì lsao các bạn biết được mấy con mụ già đi mất dạy như thế nào . đm cậy mình già là muốn đi thế đéo nào cũng được ý . đi sai xong chửi người ta mới vãi chứ dume có ngày đâm vào người ta chết có ngày ở đấy mà già mồm . cứ kêu người ta lớn tuổi hơn phải thế này tno nhưng có lớn mà đéo có học thì cũng đéo là cái gì,Negative
752,"cái thứ 2 mình thấy lạ lòn , bạn gái người ta ăn , quên chỉnh tóc . người ta chỉnh lại tóc dùm bạn gái mắc gì 2 đứa nó thái độ 😑😑",Negative
753,"không chỉ bướng , mà còn rất lười :(",Negative
754,"nói gì , em trai tao cắt tóc xong là tao đè nó ra chụp hình . cảm thấy nó cắt tóc xong là đứa nào chứ không phải em tao =)))))",Positive
755,đáng yêu vãi =))))),Positive
756,xạo xạo ... thằng cải suốt ngày bị nó dụ,Negative
757,khi mày dốt ngữ văn nhưng vẫn thích nói những câu đạo con mẹ nó lý,Negative
758,"học luật chưa mà nhắc sai về lí ? :3 , có cái nhà đấy là đường của nhà ông à :))",Negative
759,kể mà nó biết cử độg vẫy vẫy nữa thì tuyệt con mẹ nó vời ??????,Neutral
760,nhện to đến nổi chúng mày giật cả mình à :),Neutral
761,cho dân nhậu đi lùa 1 hôm thì đến con tép còn đéo còn nữa là hùm đất :)),Negative
762,đù . bọn nuôi chó mà ve còn không bắt được cho nó thì đừng nên nuôi . bực,Negative
763,bản thân quá hạnh phúc khi trong cs này rất . rất nhiều người mơ ước được như mình hiện tại . 😊😊😊,Positive
764,gà này cho chó ăn mà . bọn mất dậy vì tiền nó giết chết dần chết mòn con nhà nghèo . địt bố bọn mắt dậy,Negative
765,per cái mặt nhỏ đó gióng em :)) khi nghe tiếng súng,Neutral
766,bài viết đọc rất sướng .,Positive
767,dume dăm ba cái đứa lông còn chưa mọc đủ bày đặt thể hiện con cặc gì không biết . thêm bà cô giáo óc chó + lão chủ sân nữa,Negative
768,"ngày xưa tự dưng mình được tận 8 , 75 ư =))))",Neutral
769,gãy tay,Negative
770,đợi nốt ván đã =)))))))),Positive
771,"nhớ quá , độ chục năm không đi soi ve rồi :((((",Negative
772,t đã soi gương suốt ngày chỉ để gặp crush và ngắm nụ cười tỏa nắng của nó,Positive
773,per hồi đó mua điểm đại học nè 😂😂😂,Positive
774,dume mất dạy,Negative
775,nào chàng trai có nhiều tài hãy cho em gục ngã đi nào =)),Positive
776,nó chỉ là phép lịch sự . ngưng ảo tưởng nha nha,Negative
777,đm chạy ra xa mà viết đi 😈,Negative
778,"thằng tàu hoả lái dở , thấy xe đậu thì đánh lái né ra đường ray thi đâu có va chạm hư ô tô",Negative
779,người ta thôi chứ vợ mình là số 1 . mình chưa bao giờ chê . 😍😍😍,Positive
780,"mê chơi lọt cóng nè , nhìn vẻ mặt hp của nó mình cũng thấy vui theo",Positive
781,"và cứ mỗi lần mày muốn thấy crush cười , mày lại chạy lại cái gương",Positive
782,kinh dị vãi,Negative
783,mẹ cái lũ thầu nấu ăn cho trẻ con . ai cũng bảo chúng mày nấu 1 năm có có hàng tỉ tiền . mẫu giáo còn hại được thì cấp 1 tha gì .,Negative
784,per sau này con bư lớn cũng vậy đó mẹ hahaa,Positive
785,phim hay vãi ra . đến giờ vẫn thấy mình giống bạn ma nữ quá trời 😂😂😂,Positive
786,per nuôi đi anh còn kịp chả già mất 😂,Positive
787,per thông minh là đây chớ đâu,Positive
788,t đã cố tình che mặt nhưng vẫn giật mình,Negative
789,sư tử chứ dễ thương q . q gì,Negative
790,"mưa sấp mặt , về đi",Negative
791,nhìn biến thái kinh khủng .,Negative
792,tầm tuổi này . họ không còn những áp lực cuộc sống nữa . mà chỉ còn thứ tình cảm gắn bó với họ từ những ngày khó khăn nhất . ngưỡng mộ và ước được chút phúc đức của ông bà,Positive
793,sếp như nào nữa còn sếp tôi thì như lònnnnnnn,Negative
794,per tao nói rồi nha địt con mẹ mày,Negative
795,bình tĩnh vô cùng,Neutral
796,haha . dễ thương gê 😊😘😘,Positive
797,thiết bị này mua như nào nhỉ,Neutral
798,cậu bạn mẫu giáo năm ấy chép bài cho tao để tao khỏi bị thẻ tay giờ đang nơi đâu ???,Negative
799,thật là một câu chuyện buồn 😌,Negative
800,ng dân biết phải làm sao bệnh chồng bệnh,Negative
801,em đừng đi tập gym em nhé . bth em đã mê trai lắm rồi . em mà đi tập nữa chị không biết em như thế nào luôn 😢 per,Negative
802,nếu là tao thì nhảy cẩng lên chuẩn mẹ rồi :)) má nhìn trong hình tưởng ma thật ở ngoài đéo biết như lào luôn ớ,Negative
803,"con yêu nghiệt , tỏ cái vẻ đáng thương còn ăn vạ =)))",Negative
804,cuộc tình ngang trái của nhà tớ đây ??,Neutral
805,"thấy bình sữa của em thấy ham quá , chị sinh em bé chả có sữa gì hết .",Negative
806,"úi sời , gần chỗ mình này",Positive
807,vừa sếp vừa đồng nghiệp tốt thì đi làm như là đi chơi 💃 bonus 6h chưa hẳn đã muốn về,Positive
808,"tao toàn thế giận tao tao dỗi lại , lại phải dỗ tao . hahahaha",Positive
809,per vui quá .. đi dạo được ven hồ rồi 🙂,Positive
810,per cảm ơn tôi đi . thấy tầm quan trọng của máy chém gió chưa,Positive
811,cấm đỗ là việc của công an,Neutral
812,"tao ước gì gặp được cái thằng chế ra con xe lead , tao sẽ tán cho nó sấp mặt luôn . 😒 còn video này tao hóng mãi lúc nó so ... mà đéo thấy haha",Negative
813,nghe nguồn tao biết được độ chân thực của câu chuyện rồi 😂😂😂,Positive
814,"mấy thành phần không chấp hành luật giao thông cứ phải thế này . cơ mà thằng này gà thật , tạt mẹ vào quán nước mà ngồi uống chứ làm gì phải dắt xe khổ thế kia",Negative
815,per giải trí =))),Positive
816,< 3 chuyện lạ có thật :))),Positive
817,cười vô mặt,Positive
818,cuộc sống mà .. ghi không được thì thôi . sao mấy bạn chửi người ta dữ vậy,Neutral
819,per kỉ niệm nhất là những ngày trốn học cùng nhau đi xem phim 😂😂😂,Positive
820,đau bụng quá ự ự,Negative
821,lợi ích của việc giữ vững quan điểm 😄,Positive
822,thế này mà mày vẫn còn buồn thì ...,Negative
823,thấy mà nhớ lại quá . lúc còn sinh viên . di làm thêm ở quán kara . đm tụi nó tổ chức sinh nhật . rồi bày ra trang trí để tỏ tình . rồi quà bỏ xốp hột không trong đó . vừa xốp . vừa đèn cầy . vừa kim tuyến . bia . đồ ăn đồ . làm buổi có 40k mà dọn đúng là như thèn này chửi . dọn mún lòa lozzz ra lun . ức chế lắm,Negative
824,sáng nay tao mới thấy 2 con này đi cùng,Neutral
825,bạn trai tao đéo biết giận dai nên không phải dỗ,Positive
826,tại sao lại phải che mặt vậy,Neutral
827,án mà cứ xử như vậy thì sao có được lòng dân,Negative
828,thế tao mới quyết tâm tìm ra facebook thật của nó để no hết đường lừa các em mới lớn đó,Negative
829,sợ ngỗng còn hơn sợ chó :))),Negative
830,"vậy thì tao sẽ ước mơ là các nhà thơ đừng bao giờ xài ẩn dụ , chơi chữ :) đã ngu văn còn bắt phân tích thấy mẹ luôn",Negative
831,nhiê ̀ u biê ́ n đô ̣ người kha ́ thu ́ vi ̣ =)),Positive
832,"thương tra ̀ o nươ ́ c mă ́ tao ... cuô ́ i cu ̀ người thi ̀ ban la ̃ nh đa ̣ o bă ́ c ninh đa ̃ lên tiê ́ người giu ́ p đơ ̃ ca ́ c be ́, du ̀ qua ́ muô ̣ n @",Negative
833,lấy giẻ lau xong vắt chắc cũng được nửa,Neutral
834,ngày xưa mừn cũng hay thế lắm .,Positive
835,chắc nó se lạnh thì đừng hỏi tại sao thằng kia lấp nhíp sưởi ấm cũng không thấy .,Neutral
836,phận làm trai nào sung sướng gì 😂,Negative
837,"hôm nay ai có vàng bán hết đi , tuần sau mua lại , lời vãi .",Positive
838,kính thủy lực là kính gì bạn ơi,Neutral
839,chưa bao giờ được nge câu này 😞,Negative
840,nam chính người nào cũng bị bệnh tự luyến nữa :))))))),Negative
841,"cũng chuẩn , giờ khởi nghiệp vậy phá sản chỉ mấy tháng đầu",Positive
842,chỗ tao lắm đứa khó chịu vãi,Negative
843,"tất cả là do chính sách sai lầm của những người đứng đầu tỉnh sơn la . tsb cao su nó phù hợp trồng ở cao nguyên + nhiệt đới nắng lắm chứ lên tây bắc lạnh giá + sương muối thì cây cao su làm sao nó sinh trưởng tốt và hợp khí hậu được mà chả trắng tay :))) còn cả cây cafe đang được trồng ở sơn la , điện biên nữa sớm muộn gì những người dân trồng hai loại cây này cũng nhận trái đắng trắng tay thôi",Negative
844,quá giỏi . đạp đến ngất đi mà không quay đầu . sau này em sẽ thành công . chắc chắn vậy,Positive
845,vừa đi về ?? mưa sấp mặt,Negative
846,bài viết hay quá !,Positive
847,gì cũng được ?????? dễ vãi,Positive
848,đã năm 2000 . người ta cho mượn 200 tr rồi .. từ đó về sau nhà người ta có cần 25 tr / tháng hay không ???,Neutral
849,ôi cháu taooo =)))),Positive
850,nó chỉ muốn chén mày thôi . thật đấy,Neutral
851,"cô giáo ngu bỏ mẹ , xong được bầy hãm lòn trẻ trâu này nữa , kia là em tao , không biết tao sẽ làm gì bọn khốn nạn này nữa :))",Negative
852,haizzzz đó là 1 câu chuyện khá bùn,Negative
853,"chồng này chắc cú có gai ah , mặc quần đéo gì vậy",Negative
854,"haa ... haa ... ! đúng là có thay đổi lớn ! ngồi nhâm nhi ly cafe , phì phèo điếu thuốc nhìn thiên hạ cũng vui kkk ... !",Positive
855,nhưng nó cười với đứa khác không phải mày .... 💔,Negative
856,per anh ơi đừng gym nữa . boxing là đụ rùi :((,Negative
857,đừng có thấy 6 múi mà ham nha nha 😂😂,Positive
858,thật ra mấy đứa bị chửi nhiều thế này ra đời lại biết cư xử hơn những đứa khác .,Neutral
859,muốn nói bậy ghê :)))) nuôi con chó mà nuôi ra vậy . vừa ôm vừa bị ve,Negative
860,- mấy bạn đừng có đổ mình nữa nha 😞😞. mình ngại lắm 😞🤣,Positive
861,tại sao anh cứ mất công giận dỗi trong khi người xin lỗi vẫn là anh =)),Positive
862,chúc mừng các anh . các anh giỏi quá . chuc các anh mạnh khỏe .,Positive
863,per hóng phim này dụ dỗ mọi người xem tiếp nè anh :v,Positive
864,ngày chủ nhiệm cu nhà mình cô nhẹ nhàng nết na lắm mà ! giờ thì sao cô lại hành xử như vậy chứ ! thật buồn !,Negative
865,"nhớ hồi euro 2012 rực sáng trong màu áo tuyển ý , ghi mấy bàn mà bàn nào cũng thấy phê .",Positive
866,đáng yêu vại trời,Positive
867,kéo nhau ra toà ly hôn tự nhiên béo ngành thuế,Negative
868,ai sẽ cùng tôi mang nỗi đau này cơ chứ,Negative
869,ngu thì mới đi vào phủ dầy nhé chứ chợ đâu đến mức như vậy ??????,Negative
870,sĩ diện không nội mũ và cái kết dắt xe hết mẹ đoạn đường,Neutral
871,"vietcombank 1 tháng trừ hết 22k phí inter với mobile banking , dù tháng đó kau chả xài tới cái nào :((",Negative
872,nói thật gia lai nói riêng tây nguyên nói chung xưa nhờ vàng đen '' hồ tiêu ' và vàng trắng ' cao su ' mà người dân có dư cái ăn cái mặt bây giờ thì thua rồi bỏ đi tứ xứ .. một thời,Negative
873,đúng rồi . trái tim thảo mai này dễ rung động lắm nên các anh hay cả các chị và các bạn đừng thả thính em . em đập cho 😭,Negative
874,nhưng nó lại đéo thích :>,Neutral
875,ngu thì chết thôi,Negative
876,nói chung là ai nào buông tay thì người chết vẫn là mấy đứa con gái như tao 😭,Negative
877,nhớp nhúa,Negative
